,Ring(34),"Erdos_Renyi(34,78)",Star(34),Karate
1,40.6005849709838,2.9410027978844404,1.2958438228398332,0.9179229285151287
2,67.66764161830633,9.395729991136081,8.7815435761379,3.845613953147592
3,85.71234604985467,20.89143917304228,13.629425321130933,9.707437566823149
4,94.73469826562886,36.55485889879261,34.838907955475456,20.225304456059
5,98.34363915193853,53.6124171438208,43.08030692196361,33.72336111987397
6,99.54661944737508,69.17634154099942,67.11772057422074,49.3085920121407
7,99.89032810321412,81.34259076139988,73.78932926137782,63.98044166222825
8,99.97625526717387,89.6804941647851,88.38347326453392,76.48035347717934
9,99.99535019249825,94.75873255807572,91.53395514458032,85.73791428375867
10,99.99916917756312,97.54457720536469,97.04729843466153,92.00135339843055
11,99.99986353848401,98.9338022787415,98.02108374303951,95.81576364376697
12,99.99997926530416,99.56905393894606,99.44118731775737,97.95930946789309
13,99.99999706943032,99.83718297435166,99.65342257727563,99.0663365934028
14,99.99999961287693,99.94228727787137,99.9187166516735,99.59878720890451
15,99.99999995200314,99.98074019990537,99.9530785508336,99.83733953894563
16,99.9999999943939,99.99392997178037,99.99066187803997,99.93766908468106
17,99.99999999938107,99.99818806119369,99.99495711543499,99.97734849508598
18,99.9999999999352,99.99948637898723,99.9991330406801,99.9921781641644
19,99.99999999999353,99.9998614087217,99.99956005258488,99.99742681317997
20,99.99999999999936,99.99996432391485,99.99993368800156,99.99919203798052
